id_vuelo,ruta,distancia_km,peso_kg,dim_l_cm,dim_a_cm,dim_h_cm,bateria_inicio,bateria_fin,clima,viento,temperatura,obstaculos,trafico_aereo,fecha_salida,fecha_llegada,resultado_entrega
V0,RUTA_C,16.72989931148364,10.373299382706039,45,78,55,85,46.54020137703272,LLUVIA,MEDIO,15.635323521775252,1,0,2026-01-01 07:46:00,2026-01-01 08:10:55.421633,1
V1,RUTA_A,15.755432914036229,20.842723558534065,17,78,38,86,54.489134171927546,NUBLADO,MUY_ALTO,7.039800405921987,0,0,2026-01-01 06:45:00,2026-01-01 07:07:09.879753,0
V2,RUTA_C,9.494614914809372,21.654375687747066,78,29,48,91,67.01077017038125,LLUVIA,BAJO,14.006550431230213,1,0,2026-01-01 10:23:00,2026-01-01 10:46:53.686864,1
V3,RUTA_C,2.0428458662257563,14.596996019258853,45,73,19,82,77.91430826754849,NUBLADO,ALTO,19.970754155651168,0,0,2026-01-01 17:34:00,2026-01-01 17:41:51.817949,1
V4,RUTA_A,13.147559883583657,14.474671770089223,37,25,18,93,61.704880232832686,LLUVIA,MEDIO,18.18326869824806,1,0,2026-01-01 09:46:00,2026-01-01 10:11:15.188142,1
V5,RUTA_A,11.597999432716499,33.227946117290216,56,60,10,98,74.804001134567,NUBLADO,MEDIO,12.640476413957058,0,0,2026-01-01 09:11:00,2026-01-01 09:21:22.680896,1
V6,RUTA_C,17.49942940238443,31.67706750862758,39,46,54,95,60.00114119523114,NUBLADO,ALTO,13.738860894403672,0,0,2026-01-01 15:54:00,2026-01-01 16:23:40.623546,1
V7,RUTA_B,10.502205084596408,12.657935351389453,32,78,41,86,59.995589830807184,LLUVIA,MEDIO,14.357165363590333,1,0,2026-01-01 12:40:00,2026-01-01 12:51:57.073123,1
V8,RUTA_C,6.71869329784946,36.59464353299374,25,51,54,87,73.56261340430108,NUBLADO,ALTO,13.34914491254828,0,0,2026-01-01 10:46:00,2026-01-01 10:55:15.195491,1
V9,RUTA_C,9.823368790835447,38.13619317159899,23,66,36,97,77.35326241832911,SOLEADO,MUY_ALTO,7.881304529041671,0,0,2026-01-01 15:08:00,2026-01-01 15:32:20.211027,0
V10,RUTA_C,17.64747595387678,13.406330410186612,61,75,7,92,56.70504809224644,SOLEADO,MEDIO,19.054364402479422,0,0,2026-01-01 16:30:00,2026-01-01 16:35:39.903845,1
V11,RUTA_C,12.838161353061519,14.499785477325666,46,18,7,88,62.32367729387696,LLUVIA,BAJO,21.028239826756373,0,0,2026-01-01 12:44:00,2026-01-01 12:54:21.383152,1
V12,RUTA_A,12.42359434475987,20.472549060167374,38,73,26,89,64.15281131048026,NUBLADO,MEDIO,9.926204224141038,0,0,2026-01-01 10:05:00,2026-01-01 10:29:37.433423,1
V13,RUTA_C,5.0915870253400515,37.674272095080106,76,31,26,88,77.81682594931989,LLUVIA,MUY_ALTO,20.975411730345257,0,0,2026-01-01 08:18:00,2026-01-01 08:38:57.512626,0
V14,RUTA_B,13.6412427985305,35.114617609121304,24,43,14,94,66.717514402939,SOLEADO,BAJO,15.587907194411137,0,0,2026-01-01 13:51:00,2026-01-01 14:19:51.140872,1
V15,RUTA_A,13.754621101020119,4.551434522051797,56,64,55,99,71.49075779795976,SOLEADO,MEDIO,20.900529392671498,0,0,2026-01-01 15:18:00,2026-01-01 15:43:05.452721,1
V16,RUTA_B,6.393912724190391,16.01286435922094,55,38,7,81,68.21217455161921,SOLEADO,MEDIO,16.151801745161784,0,0,2026-01-01 12:22:00,2026-01-01 12:31:40.171211,1
V17,RUTA_B,9.223135150642124,22.35816199511599,61,47,16,92,73.55372969871576,NUBLADO,ALTO,16.54217836863452,0,0,2026-01-01 11:06:00,2026-01-01 11:24:44.234360,1
V18,RUTA_B,6.008256659987753,20.37373266578583,28,27,33,81,65.9834866800245,NUBLADO,BAJO,17.48973858792885,0,1,2026-01-01 14:08:00,2026-01-01 14:28:11.563668,1
V19,RUTA_B,5.397986195512874,8.157591183507261,30,74,52,98,82.20402760897426,NUBLADO,ALTO,12.839734699458887,1,0,2026-01-01 10:43:00,2026-01-01 10:54:37.969660,1
V20,RUTA_A,1.4402331942412476,34.42326246114211,73,10,21,81,78.11953361151751,NUBLADO,MUY_ALTO,20.778696577312086,0,0,2026-01-01 08:01:00,2026-01-01 08:23:20.768079,0
V21,RUTA_A,5.848599659106646,27.239160928375075,46,13,11,82,70.3028006817867,LLUVIA_FUERTE,BAJO,11.51447744770086,0,0,2026-01-01 13:44:00,2026-01-01 14:06:11.058699,0
V22,RUTA_B,10.417489147930672,33.59738080664624,36,13,17,85,64.16502170413865,SOLEADO,BAJO,14.391733021933318,0,0,2026-01-01 10:28:00,2026-01-01 10:39:33.611734,1
V23,RUTA_B,1.02722018833349,34.42118903430415,64,36,6,82,79.94555962333303,NUBLADO,MUY_ALTO,18.097058710572675,0,0,2026-01-01 15:06:00,2026-01-01 15:30:20.471093,0
V24,RUTA_A,5.814724424764346,30.06005621979672,38,52,8,89,77.3705511504713,LLUVIA,BAJO,13.963219038058146,0,0,2026-01-01 11:28:00,2026-01-01 11:48:17.856127,1
V25,RUTA_A,15.983975649495251,17.848818749363836,29,68,14,85,53.0320487010095,NUBLADO,ALTO,19.110124963259775,0,0,2026-01-01 10:28:00,2026-01-01 10:50:32.920800,1
V26,RUTA_A,11.092025946825135,24.61659682310927,34,41,43,95,72.81594810634974,NUBLADO,MEDIO,21.503464692735825,0,0,2026-01-01 16:01:00,2026-01-01 16:23:12.349916,1
V27,RUTA_C,11.333668009376668,6.8344335417298545,79,42,28,96,73.33266398124667,LLUVIA,BAJO,20.050184004215346,0,0,2026-01-01 12:09:00,2026-01-01 12:25:27.986939,1
V28,RUTA_C,7.857193185448005,27.108993990258853,72,37,21,98,82.28561362910399,LLUVIA_FUERTE,ALTO,8.255538745285513,0,0,2026-01-01 13:42:00,2026-01-01 14:03:59.716337,0
V29,RUTA_C,12.500026439370988,7.580503601701589,45,64,56,82,53.999947121258025,SOLEADO,MEDIO,16.50338787847743,0,1,2026-01-01 12:42:00,2026-01-01 13:02:37.413413,1
V30,RUTA_B,4.228857025916105,27.911008825151193,11,69,10,97,88.54228594816779,LLUVIA_FUERTE,MEDIO,20.114730442785568,0,0,2026-01-01 07:09:00,2026-01-01 07:37:47.648274,0
V31,RUTA_C,14.918695776531257,9.569127349781763,31,79,23,86,56.16260844693748,NUBLADO,MEDIO,10.733004612711772,0,0,2026-01-01 15:29:00,2026-01-01 15:43:20.891805,1
V32,RUTA_B,2.983715038910297,5.143276355933689,25,71,9,88,77.0325699221794,SOLEADO,MEDIO,18.8944423489155,1,0,2026-01-01 12:45:00,2026-01-01 12:51:10.986795,1
V33,RUTA_B,12.152023029102857,7.028737360646819,27,43,36,99,74.69595394179429,NUBLADO,BAJO,18.669843126557247,0,0,2026-01-01 06:29:00,2026-01-01 06:40:16.197503,1
V34,RUTA_C,6.799538538934612,0.5786893411532756,78,65,14,91,74.40092292213077,LLUVIA_FUERTE,MEDIO,11.15164043224694,0,1,2026-01-01 14:16:00,2026-01-01 14:42:18.221622,0
V35,RUTA_B,13.707720499902106,28.890214905214446,63,22,13,84,56.58455900019579,NUBLADO,MUY_ALTO,19.336930662960643,0,0,2026-01-01 12:42:00,2026-01-01 13:00:18.199109,0
V36,RUTA_C,10.345997371522339,29.429841437805976,39,65,31,82,61.308005256955326,SOLEADO,BAJO,17.09079117411974,0,0,2026-01-01 10:49:00,2026-01-01 10:58:02.396934,1
